번호,LMS번호,TLP번호,학년,과정,Self_Efficacy,Math_efficacy,내재조절2,확인조절2,부과조절2,외재조절2,RAI2,숙달접근,수행접근,수행회피,숙달회피,수학흥미,주의집중,능동적학습,총점,수학학습전략,인지전략,메타인지전략,총전략점수,정서불안,인지불안,관계불안,일반불안,총불안,부모관계긍정,부모관계부정,전체관계,학원의존
738,15558,31953,3,1,5.11,4.33,5.43,6,4.33,6,-0.52,5.33,4.75,1,2,5.44,3.6,3.4,4.15,5.67,3.83,5.2,4.9,4,1.6,1,1.4,2,2,2.8,3.1,3
464,10454,24056,5,1,5.11,4.56,3.86,6,2.67,1,-9.05,4.33,2,1.2,3.6,3.22,4.4,2.2,3.27,4.17,1.5,2.4,2.69,1,1,1,1.2,1.05,3.5,2,4.25,2.71
91,3739,7438,6,1,4.56,3.33,3.14,3,4,2.67,0.05,3.17,3.5,2.4,3.4,3.11,3.2,3,3.1,2.83,2.33,3,2.72,4,5,3,4.2,4.05,4.75,3.2,4.28,3
759,16155,32194,5,1,3.89,3.33,5,3,2,2,-7,5,2,2.2,2.6,4.89,3.4,3.8,4.03,3.33,3.33,2,2.89,2,1.6,1,1.8,1.6,5,1.4,5.3,1.43
544,11179,24339,6,1,4.33,4.11,3.86,3.75,4.17,3.33,-0.63,3.83,3.75,5,3.8,3.78,3.8,3.2,3.59,3.83,3.67,3.6,3.7,2.4,3.2,4.8,2,3.1,3.25,4.4,2.93,2.71
101,3821,22656,4,1,5.78,5.44,5.14,6,2.67,1.33,-10.95,5,1.75,1.2,1.8,5.78,4.4,4.8,4.99,5.33,5.17,5.2,5.23,2.2,2.2,1.8,2,2.05,5.5,2,5.25,2.86
493,10680,19741,6,1,3.89,3.56,3.57,4.75,2,1.67,-6.56,3.5,2,5.8,1.8,2.56,2.6,2.6,2.59,3.33,3.17,4,3.5,3.4,4.2,3.8,4.4,3.95,5.5,1.8,5.35,4
534,11086,24361,5,1,5.22,4.56,4.14,4.75,3,1,-8.04,4.17,2.75,1.2,1.4,3.33,3,4.6,3.64,4.17,4.5,4,4.22,2.8,2,2.6,1.6,2.25,5.75,1.6,5.58,2.29
723,15222,31806,6,1,5.33,5.22,5,6,3.17,1,-10.83,5.33,2.75,1.4,1,5.22,5.8,6,5.67,5.5,5.5,5.8,5.6,1.2,2.2,1.6,2,1.75,3.25,2,4.13,1.29
455,10302,23963,6,1,3.22,3.67,3.71,4.25,1.83,1,-7.85,3.67,1.25,4.8,3.6,1.67,1.6,2.4,1.89,3.5,1.5,3.6,2.87,1.4,1.4,1,1.8,1.4,3,3.4,3.3,3.57
543,11134,17464,5,1,4.44,5.22,5.71,5.5,5.67,2.67,-5.93,5.67,6,3,2.2,6,6,5.6,5.87,5,4.83,5.2,5.01,2,2,2.2,2,2.05,3.25,1.4,4.43,3.86
100,3804,7212,5,1,4.44,4.22,3.86,4.25,3.33,2,-4.63,3.83,3,2.2,2.8,3.89,4.2,3.6,3.9,4.17,4.5,4.6,4.42,1,2.4,3,1.2,1.9,4,2.2,4.4,3.29
431,9610,23532,4,1,3.67,3.67,5.43,3.75,5,4.67,-0.27,5.5,4.75,5.8,4.4,2,2.8,2.8,2.53,4.17,3.67,2.8,3.54,5.6,6,5.8,6,5.85,3,4,3,4.43
540,11103,24354,4,1,5,4,4.14,5,3.5,2,-5.79,4,2.25,1.2,2.4,3,4.4,3.2,3.53,4.5,3.67,3,3.72,1.8,4.4,3.4,2.2,2.95,2.25,4.6,2.33,1.86
